what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1423087981674
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1423087981675
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1423087981675
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1423087981676
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1423087981677
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1423087981677
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1423087981677
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1423087981678
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1423087981678
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1423087981679
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1423087981679
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1423087981679
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1423087981680
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1423087981680
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1423087981680
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1423087981680
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1423087981680
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1423087981680
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1423087981680
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1423087981680
stopped,bundle,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin",1423087981680
stopped,bundle,com.altera.sbtgui.gprof,12.1.1.243,"com.altera.sbtgui.gprof",1423087981681
stopped,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1423087981681
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1423087981681
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1423087981681
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1423087981681
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1423087981681
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1423087981681
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1423087981682
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1423087981682
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1423087981682
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1423087994733
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1423087994733
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1423087994734
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1423087994734
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1423087994735
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1423087994735
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1423087994735
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1423087994735
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1423087994736
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1423087994736
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1423087994737
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1423087994737
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1423087994738
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1423087994738
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1423087994738
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1423087994738
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1423087994739
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1423087994739
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1423087994740
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1423087994740
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1423087994740
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1423087994741
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1423087994741
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1423087994742
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1423087994749
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1423087994749
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1423087994749
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1423087994750
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1423087994751
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1423087994751
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1423087994751
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1423087994752
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1423087994752
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1423087994752
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1423087994753
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1423087994753
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1423087994753
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1423087994754
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1423087994754
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1423087994755
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1423087994755
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1423087994755
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1423087994756
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1423087994756
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1423087994756
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1423087994757
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1423087994757
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1423087994757
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1423087994758
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1423087994758
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1423087994759
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1423087994759
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1423087994759
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1423087994759
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1423087994760
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1423087994760
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1423087994761
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1423087994761
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1423087994762
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1423087994762
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1423087994762
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1423087994762
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1423087994763
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1423087994763
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1423087994764
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1423087994764
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1423087994765
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1423087994765
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1423087994765
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1423087994766
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1423087994766
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1423087994767
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1423087994767
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1423087994767
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1423087994768
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1423087994768
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1423087994769
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1423087994769
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1423087994769
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1423087994769
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1423087994770
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1423087994770
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1423087994770
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1423087994771
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423087994771
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1423087994771
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1423087994772
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1423087994772
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1423087994772
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1423087994772
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1423087994773
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1423087994773
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1423087994773
os,sysinfo,,,"win32",1423087994775
arch,sysinfo,,,"x86",1423087994775
ws,sysinfo,,,"win32",1423087994775
locale,sysinfo,,,"en_CA",1423087994775
processors,sysinfo,,,"8",1423087994775
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423087994775
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1423087994775
java.specification.name,sysinfo,,,"Java Platform API Specification",1423087994775
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087994775
java.specification.version,sysinfo,,,"1.6",1423087994775
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087994775
java.version,sysinfo,,,"1.6.0_23",1423087994775
java.vm.info,sysinfo,,,"mixed mode",1423087994775
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1423087994775
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423087994775
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087994775
java.vm.specification.version,sysinfo,,,"1.0",1423087994775
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087994775
java.vm.version,sysinfo,,,"19.0-b09",1423087994775
error,log,,,"Internal Error",1423087995611
error,log,,,"Internal Error",1423087995615
error,log,,,"Internal Error",1423087995619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1423087995763
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423087995980
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1423087995988
error,log,,,"Internal Error",1423087997497
error,log,,,"Internal Error",1423087997501
error,log,,,"Internal Error",1423087997505
error,log,,,"Internal Error",1423087997508
error,log,,,"Internal Error",1423087997512
error,log,,,"Internal Error",1423087997522
error,log,,,"Internal Error",1423087997526
error,log,,,"Internal Error",1423087997531
error,log,,,"Internal Error",1423087997536
error,log,,,"Internal Error",1423087997541
error,log,,,"Internal Error",1423087997558
error,log,,,"Internal Error",1423087997564
error,log,,,"Internal Error",1423087997571
error,log,,,"Internal Error",1423087997770
error,log,,,"Internal Error",1423087997772
error,log,,,"Internal Error",1423087997776
error,log,,,"Internal Error",1423087997779
error,log,,,"Internal Error",1423087997782
error,log,,,"Internal Error",1423087997785
error,log,,,"Internal Error",1423087997788
error,log,,,"Internal Error",1423087997791
error,log,,,"Internal Error",1423087997794
error,log,,,"Internal Error",1423087997797
error,log,,,"Internal Error",1423087997800
error,log,,,"Internal Error",1423087997803
error,log,,,"Internal Error",1423087997806
error,log,,,"Internal Error",1423087997808
error,log,,,"Internal Error",1423087997812
error,log,,,"Internal Error",1423087997815
error,log,,,"Internal Error",1423087997818
error,log,,,"Internal Error",1423087997821
error,log,,,"Internal Error",1423087997824
error,log,,,"Internal Error",1423087997827
error,log,,,"Internal Error",1423087997830
error,log,,,"Internal Error",1423087997833
error,log,,,"Internal Error",1423087997836
error,log,,,"Internal Error",1423087997838
error,log,,,"Internal Error",1423087997841
error,log,,,"Internal Error",1423087997844
error,log,,,"Internal Error",1423087997848
error,log,,,"Internal Error",1423087997851
error,log,,,"Internal Error",1423087997854
error,log,,,"Internal Error",1423087997857
error,log,,,"Internal Error",1423087997860
error,log,,,"Internal Error",1423087997864
error,log,,,"Internal Error",1423087997867
error,log,,,"Internal Error",1423087997869
error,log,,,"Internal Error",1423087997872
error,log,,,"Internal Error",1423087997875
error,log,,,"Internal Error",1423087997878
error,log,,,"Internal Error",1423087997880
error,log,,,"Internal Error",1423087997883
error,log,,,"Internal Error",1423087997886
error,log,,,"Internal Error",1423087997889
error,log,,,"Internal Error",1423087997892
error,log,,,"Internal Error",1423087997895
error,log,,,"Internal Error",1423087997897
error,log,,,"Internal Error",1423087997900
error,log,,,"Internal Error",1423087997903
error,log,,,"Internal Error",1423087997906
error,log,,,"Internal Error",1423087997908
error,log,,,"Internal Error",1423087997911
error,log,,,"Internal Error",1423087997914
error,log,,,"Internal Error",1423087997917
error,log,,,"Internal Error",1423087997921
error,log,,,"Internal Error",1423087997923
error,log,,,"Internal Error",1423087997927
error,log,,,"Internal Error",1423087997929
error,log,,,"Internal Error",1423087997932
error,log,,,"Internal Error",1423087997936
error,log,,,"Internal Error",1423087997939
error,log,,,"Internal Error",1423087997942
error,log,,,"Internal Error",1423087997944
error,log,,,"Internal Error",1423087997947
error,log,,,"Internal Error",1423087997950
error,log,,,"Internal Error",1423087997953
error,log,,,"Internal Error",1423087997955
error,log,,,"Internal Error",1423087997958
error,log,,,"Internal Error",1423087997961
error,log,,,"Internal Error",1423087997964
error,log,,,"Internal Error",1423087997967
error,log,,,"Internal Error",1423087997970
error,log,,,"Internal Error",1423087997973
error,log,,,"Internal Error",1423087997977
error,log,,,"Internal Error",1423087997983
error,log,,,"Internal Error",1423087997987
error,log,,,"Internal Error",1423087997990
error,log,,,"Internal Error",1423087997993
error,log,,,"Internal Error",1423087997997
error,log,,,"Internal Error",1423087998000
error,log,,,"Internal Error",1423087998003
error,log,,,"Internal Error",1423087998006
error,log,,,"Internal Error",1423087998008
error,log,,,"Internal Error",1423087998011
error,log,,,"Internal Error",1423087998014
error,log,,,"Internal Error",1423087998017
error,log,,,"Internal Error",1423087998020
error,log,,,"Internal Error",1423087998023
error,log,,,"Internal Error",1423087998026
error,log,,,"Internal Error",1423087998029
error,log,,,"Internal Error",1423087998032
error,log,,,"Internal Error",1423087998035
error,log,,,"Internal Error",1423087998038
error,log,,,"Internal Error",1423087998041
error,log,,,"Internal Error",1423087998044
error,log,,,"Internal Error",1423087998047
error,log,,,"Internal Error",1423087998050
error,log,,,"Internal Error",1423087998053
error,log,,,"Internal Error",1423087998056
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1423088000507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088001370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088002601
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1423088002605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423088002605
error,log,,,"Internal Error",1423088003454
error,log,,,"Internal Error",1423088003458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088004462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088005473
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1423088005475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423088005475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088006071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088018347
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1423088021394
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1423088021473
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1423088021477
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1423088021477
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1423088021477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088021731
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1423088044074
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1423088044103
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1423088044863
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1423088045410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088050606
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1423088072196
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1423088072198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088074927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088081653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088084838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088092635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088093154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088096865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088100995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088101935
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1423088102366
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1423088102371
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423088103757
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1423088104091
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1423088104100
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x1109058, --id=0x0, --timestamp=1423087784] return code: 16",1423088105445
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x1109058, --id=0x0, --timestamp=1423087784, /cygdrive/c/Users/rcorpuz/ECE492_Group4_Project/Ryans_stuff/group4_project/software/test/test.elf] return code: 16",1423088107029
error,log,,,"Downloading ELF Process failed",1423088107033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088107045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088109351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088146660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088235287
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423088236582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423088241763
