what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088247075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088248037
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1423088248179
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423088248828
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423088248864
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423088249549
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423088250134
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x1109058, --id=0x0, --timestamp=1423087784] return code: 16",1423088250984
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x1109058, --id=0x0, --timestamp=1423087784, /cygdrive/c/Users/rcorpuz/ECE492_Group4_Project/Ryans_stuff/group4_project/software/test/test.elf] return code: 16",1423088252565
error,log,,,"Downloading ELF Process failed",1423088252568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088252572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088253900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423088256562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088261124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088262075
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1423088262211
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423088263570
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423088264166
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x1109058, --id=0x0, --timestamp=1423087784] return code: 16",1423088265007
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x1109058, --id=0x0, --timestamp=1423087784, /cygdrive/c/Users/rcorpuz/ECE492_Group4_Project/Ryans_stuff/group4_project/software/test/test.elf] return code: 16",1423088266577
error,log,,,"Downloading ELF Process failed",1423088266581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088266584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088267740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088268306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088273554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088274137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088291595
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423088294571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423088297501
