what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1423087216836
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1423087216836
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1423087216836
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1423087216837
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1423087216837
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1423087216838
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423087216838
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1423087216838
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1423087216839
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1423087216839
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1423087216839
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1423087216839
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1423087216839
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1423087216840
os,sysinfo,,,"win32",1423087216841
arch,sysinfo,,,"x86",1423087216841
ws,sysinfo,,,"win32",1423087216841
locale,sysinfo,,,"en_CA",1423087216841
processors,sysinfo,,,"8",1423087216841
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423087216841
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1423087216841
java.specification.name,sysinfo,,,"Java Platform API Specification",1423087216841
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087216841
java.specification.version,sysinfo,,,"1.6",1423087216841
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087216841
java.version,sysinfo,,,"1.6.0_23",1423087216841
java.vm.info,sysinfo,,,"mixed mode",1423087216841
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1423087216841
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423087216841
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087216841
java.vm.specification.version,sysinfo,,,"1.0",1423087216841
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1423087216841
java.vm.version,sysinfo,,,"19.0-b09",1423087216841
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1423087217137
